Category;Name;Price;ImageUrl
Dry Fruits and Nuts;Apricot With Seed Per 250GM;Rs. 425;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12623264-0-S.jpg?5
Dry Fruits and Nuts;Coconut Powder Per 250GM;Rs. 190;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12623015-0-S.jpg?5
Dry Fruits and Nuts;Roasted Special Mix Nuts Per 250GM;Rs. 650;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12625038-0-S.jpg?5
Dry Fruits and Nuts;Pistachio Without Shell Per 250GM;Rs. 1,450;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620912-0-S.jpg?5
Dry Fruits and Nuts;Pistachio With Shell Per 250GM;Rs. 834;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12621652-0-S.jpg?5
Dry Fruits and Nuts;Almond Slice Per 250GM;Rs. 800;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12625012-0-S.jpg?5
Dry Fruits and Nuts;Walnut Kernel 500 GM;Rs. 1,099;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12625441-0-S.jpg?5
Dry Fruits and Nuts;Apricot kernel 250 GM;Rs. 380;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12625454-0-S.jpg?5
Dry Fruits and Nuts;Pistachio Slice Per 250GM;Rs. 1,400;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12625011-0-S.jpg?5
Dry Fruits and Nuts;Pistachio Without Shell Per 250GM;Rs. 849;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12625030-0-S.jpg?5
Dry Fruits and Nuts;Small Rewari Per 250GM;Rs. 163;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12623262-0-S.jpg?5
Dry Fruits and Nuts;Pine Nut Per 250GM;Rs. 3,500;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12622101-0-S.jpg?5
Dry Fruits and Nuts;Chawara Dried Dates Per 250GM;Rs. 113;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620848-0-S.jpg?5
Fresh Fruits;Mango (Langra) Per 500GM;Rs. 50;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620699-0-S.jpg?5
Fresh Fruits;Mango (Dusehri) Per 500GM;Rs. 65;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620223-0-S.jpg?5
Fresh Fruits;Mango Sindhari Per 500GM;Rs. 80;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620158-0-S.jpg?5
Fresh Fruits;Mango Chaunsa Per 500GM;Rs. 70;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620034-0-S.jpg?5
Fresh Fruits;Mango Anwar Ratol Per 500GM;Rs. 75;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620268-0-S.jpg?5
Fresh Fruits;Papaya Per 500GM;Rs. 100;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620494-0-S.jpg?5
Fresh Fruits;Bananas Per Dozen;Rs. 130;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620011-0-S.jpg?5
Fresh Fruits;Cheeku Per 500GM;Rs. 100;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620881-0-S.jpg?5
Fresh Fruits;Plum Sweet Per 250GM;Rs. 220;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620451-0-S.jpg?5
Fresh Fruits;Watermelon Chinese Per KG;Rs. 45;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12623624-0-S.jpg?5
Fresh Fruits;Jaman Per 500GM;Rs. 125;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12621205-0-S.jpg?5
Fresh Fruits;Litchi Per 500GM;Rs. 160;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620213-0-S.jpg?5
Fresh Fruits;Peaches Premium Per 500GM;Rs. 85;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620027-0-S.jpg?5
Fresh Fruits;Green Watermelon Per 3kg;Rs. 135;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12621654-0-S.jpg?5
Fresh Vegetables;Green Cabbage Per 500GM;Rs. 25;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620076-0-S.jpg?5
Fresh Vegetables;Spinach Per 500GM;Rs. 25;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620266-0-S.jpg?5
Fresh Vegetables;Coriander Per 250GM;Rs. 50;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620026-0-S.jpg?5
Fresh Vegetables;Round Aubergines (Baingan) Per 500GM;Rs. 45;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620307-0-S.jpg?5
Fresh Vegetables;Bottle Gourd Round Per kG;Rs. 89;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12623295-0-S.jpg?5
Fresh Vegetables;Organic Shop Ginger Desi Per 500GM;Rs. 375;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12631277-0-S.jpg?
Fresh Vegetables;Ginger Per 500GM;Rs. 148;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620146-0-S.jpg?5
Fresh Vegetables;China Garlic Per 500GM;Rs. 125;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620172-0-S.jpg?5
Fresh Vegetables;Mint Leaves Per 250GM;Rs. 29;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620054-0-S.jpg?5
Fresh Vegetables;Organic Shop Onion Per KG;Rs. 250;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12631258-0-S.jpg?
Fresh Vegetables;Iceberg Lettuce Per 500GM;Rs. 100;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620191-0-S.jpg?5
Fresh Vegetables;Organic Shop Garlic Desi Per 500GM;Rs. 375;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12631278-0-S.jpg?
Fresh Vegetables;Beet Root Per 500GM;Rs. 35;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620485-0-S.jpg?5
Fresh Vegetables;Sweet Potato Per 500GM;Rs. 40;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620510-0-S.jpg?5
Fresh Vegetables;Tinda Per 500GM;Rs. 50;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620310-0-S.jpg?5
Fresh Vegetables;Organic Shop Cauliflower Per KG;Rs. 250;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12631273-0-S.jpg?
Fresh Vegetables;Organic Shop Tomatoes Per KG;Rs. 250;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12631267-0-S.jpg?
Fresh Vegetables;Garlic Cleaned Per 500GM;Rs. 115;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620598-0-S.jpg?5
Fresh Vegetables;Organic Shop Potato;Rs. 200;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12631279-0-S.jpg?
Fresh Vegetables;French Beans Per 500GM;Rs. 100;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620998-0-S.jpg?5
Fresh Vegetables;Maro Kadoo Per 500GM;Rs. 40;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620610-0-S.jpg?5
Fresh Vegetables;Red Onions Per 500GM;Rs. 25;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620127-0-S.jpg?5
Fresh Vegetables;Pumpkin Halwa Kadoo Per 500GM;Rs. 20;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620915-0-S.jpg?5
Fresh Vegetables;Tomatoes Per 500GM;Rs. 43;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620008-0-S.jpg?5
Fresh Vegetables;Cucumber Per 500GM;Rs. 35;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620049-0-S.jpg?5
Fresh Vegetables;Green Capsicum Per 500GM;Rs. 45;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620078-0-S.jpg?5
Fresh Vegetables;Peas Per 500GM;Rs. 125;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620243-0-S.jpg?5
Fresh Vegetables;Green Chilli Farmi Per 500GM;Rs. 50;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620060-0-S.jpg?5
Fresh Vegetables;Potatoes Per 500GM;Rs. 26;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620121-0-S.jpg?5
Fresh Vegetables;Green Chilli Per 500GM;Rs. 50;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620354-0-S.jpg?5
Fresh Vegetables;Orange Carrot Per 500GM;Rs. 35;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620262-0-S.jpg?5
Fresh Vegetables;Lemon Per 500GM;Rs. 90;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620035-0-S.jpg?5
Fresh Vegetables;Green Lettuce Salad Patta Per 500GM;Rs. 90;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620496-0-S.jpg?5
Fresh Vegetables;Arvi Per 500GM;Rs. 60;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620316-0-S.jpg?5
Fresh Vegetables;Okra (Bhindi) Per 500GM;Rs. 60;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620219-0-S.jpg?21
Fresh Vegetables;Bittergourd (Karela) Per 500GM;Rs. 40;https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12620190-0-S.jpg?5
